"DateTime","Pre Open RELIANCEEQN","RELIANCEEQN"
"2025-06-12 09:00:59",1457,
"2025-06-12 09:01:59",1456,
"2025-06-12 09:02:59",1456.9,
"2025-06-12 09:03:59",1457,
"2025-06-12 09:04:59",1456,
"2025-06-12 09:05:59",1455.1,
"2025-06-12 09:06:59",1454.1,
"2025-06-12 09:07:45",1453.5,
"2025-06-12 09:15:59",,1454.4
"2025-06-12 09:16:59",,1453.3
"2025-06-12 09:17:57",,1454.9
"2025-06-12 09:18:58",,1456.2
"2025-06-12 09:19:59",,1455.1
"2025-06-12 09:20:59",,1455
"2025-06-12 09:21:59",,1452.1
"2025-06-12 09:22:57",,1450.5
"2025-06-12 09:23:59",,1452.2
"2025-06-12 09:24:58",,1454.9
"2025-06-12 09:25:59",,1454.3
"2025-06-12 09:26:59",,1452.9
"2025-06-12 09:27:59",,1452.6
"2025-06-12 09:28:56",,1452.1
"2025-06-12 09:29:58",,1452.4
"2025-06-12 09:30:59",,1452.1
"2025-06-12 09:31:53",,1452.5
"2025-06-12 09:32:54",,1453.6
"2025-06-12 09:33:54",,1453.6
"2025-06-12 09:34:59",,1452.5
"2025-06-12 09:35:53",,1452.4
"2025-06-12 09:36:59",,1452.7
"2025-06-12 09:37:59",,1451.6
"2025-06-12 09:38:59",,1451
"2025-06-12 09:39:59",,1450
"2025-06-12 09:40:59",,1449.9
"2025-06-12 09:41:53",,1449.2
"2025-06-12 09:42:55",,1448.7
"2025-06-12 09:43:58",,1448.4
"2025-06-12 09:44:58",,1447.4
"2025-06-12 09:45:59",,1447.4
"2025-06-12 09:46:59",,1446.8
"2025-06-12 09:47:59",,1448.3
"2025-06-12 09:48:59",,1447.5
"2025-06-12 09:49:59",,1448.9
"2025-06-12 09:50:59",,1450.1
"2025-06-12 09:51:59",,1449.9
"2025-06-12 09:52:59",,1450.1
"2025-06-12 09:53:56",,1450.4
"2025-06-12 09:54:56",,1450.2
"2025-06-12 09:55:58",,1448.7
"2025-06-12 09:56:54",,1448.7
"2025-06-12 09:57:59",,1448.5
"2025-06-12 09:58:57",,1448.6
"2025-06-12 09:59:57",,1448.4
"2025-06-12 10:00:58",,1447.3
"2025-06-12 10:01:58",,1447.5
"2025-06-12 10:02:59",,1447.9
"2025-06-12 10:03:59",,1447.8
"2025-06-12 10:04:55",,1447.7
"2025-06-12 10:05:53",,1448.1
"2025-06-12 10:06:58",,1449.5
"2025-06-12 10:07:59",,1449.6
"2025-06-12 10:08:59",,1449.9
"2025-06-12 10:09:56",,1449.7
"2025-06-12 10:10:59",,1449.9
"2025-06-12 10:11:56",,1449.9
"2025-06-12 10:12:57",,1449.7
"2025-06-12 10:13:58",,1449.7
"2025-06-12 10:14:55",,1449.5
"2025-06-12 10:15:59",,1449.3
"2025-06-12 10:16:59",,1449.3
"2025-06-12 10:17:59",,1448.9
"2025-06-12 10:18:58",,1449.2
"2025-06-12 10:19:55",,1449.6
"2025-06-12 10:20:56",,1449.1
"2025-06-12 10:21:59",,1449
"2025-06-12 10:22:57",,1449.1
"2025-06-12 10:23:56",,1449.4
"2025-06-12 10:24:55",,1450.3
"2025-06-12 10:25:58",,1450.5
"2025-06-12 10:26:58",,1450.5
"2025-06-12 10:27:56",,1451
"2025-06-12 10:28:59",,1451.5
"2025-06-12 10:29:54",,1451.5
"2025-06-12 10:30:54",,1452
"2025-06-12 10:31:59",,1451.5
"2025-06-12 10:32:59",,1451.5
"2025-06-12 10:33:56",,1451.2
"2025-06-12 10:34:55",,1451
"2025-06-12 10:35:59",,1450.3
"2025-06-12 10:36:59",,1450.3
"2025-06-12 10:37:59",,1449.1
"2025-06-12 10:38:55",,1449.2
"2025-06-12 10:39:58",,1448.8
"2025-06-12 10:40:55",,1448.5
"2025-06-12 10:41:57",,1448.6
"2025-06-12 10:42:59",,1448.6
"2025-06-12 10:43:59",,1447
"2025-06-12 10:44:58",,1445.5
"2025-06-12 10:45:59",,1447.3
"2025-06-12 10:46:58",,1447.1
"2025-06-12 10:47:59",,1447.8
"2025-06-12 10:48:57",,1447.2
"2025-06-12 10:49:59",,1448
"2025-06-12 10:50:59",,1448.2
"2025-06-12 10:51:59",,1448.3
"2025-06-12 10:52:59",,1448.9
"2025-06-12 10:53:59",,1448
"2025-06-12 10:54:59",,1448
"2025-06-12 10:55:59",,1448.1
"2025-06-12 10:56:56",,1448.1
"2025-06-12 10:57:57",,1448.2
"2025-06-12 10:58:58",,1447.8
"2025-06-12 10:59:59",,1448.2
"2025-06-12 11:00:59",,1448
"2025-06-12 11:01:59",,1448.1
"2025-06-12 11:02:49",,1448
"2025-06-12 11:03:55",,1449.1
"2025-06-12 11:04:58",,1449.2
"2025-06-12 11:05:55",,1449.2
"2025-06-12 11:06:59",,1449.6
"2025-06-12 11:07:59",,1448.6
"2025-06-12 11:08:50",,1448.5
"2025-06-12 11:09:57",,1448.6
"2025-06-12 11:10:56",,1449.3
"2025-06-12 11:11:56",,1449.6
"2025-06-12 11:12:58",,1449.5
"2025-06-12 11:13:58",,1449.6
"2025-06-12 11:14:59",,1449.2
"2025-06-12 11:15:59",,1449.1
"2025-06-12 11:16:58",,1448.6
"2025-06-12 11:17:58",,1449.1
"2025-06-12 11:18:56",,1450
"2025-06-12 11:19:59",,1450
"2025-06-12 11:20:59",,1449.8
"2025-06-12 11:21:54",,1450
"2025-06-12 11:22:57",,1450.4
"2025-06-12 11:23:59",,1450.6
"2025-06-12 11:24:58",,1450
"2025-06-12 11:25:59",,1450.8
"2025-06-12 11:26:58",,1450.8
"2025-06-12 11:27:56",,1450.3
"2025-06-12 11:28:54",,1450.3
"2025-06-12 11:29:59",,1451.4
"2025-06-12 11:30:59",,1451
"2025-06-12 11:31:57",,1451
"2025-06-12 11:32:55",,1451.1
"2025-06-12 11:33:55",,1451.1
"2025-06-12 11:34:55",,1451
"2025-06-12 11:35:59",,1451
"2025-06-12 11:36:56",,1451.6
"2025-06-12 11:37:56",,1451.3
"2025-06-12 11:38:57",,1450.1
"2025-06-12 11:39:58",,1449.1
